01/01/2018,,Hours,2018,2019,2020,2021,2022
05/01/2018 09:00,05/01/2018 10:00,106,60.89,63.68,30,59.1,177.09
05/01/2018 10:00,05/01/2018 11:00,107,64.61,63.67,32.95,61.55,176.63
05/01/2018 11:00,05/01/2018 12:00,108,64.82,71.98,39,60.47,172.59
05/01/2018 12:00,05/01/2018 13:00,109,63.8,71.94,33.64,61.7,173.12
05/01/2018 13:00,05/01/2018 14:00,110,62.78,69,34,62.69,175.26
05/01/2018 14:00,05/01/2018 15:00,111,62.86,59.49,38,60.64,183.93
05/01/2018 15:00,05/01/2018 16:00,112,61.44,56.18,39,57.92,186.21
05/01/2018 16:00,05/01/2018 17:00,113,52,76.08,35.79,57.44,173.82
05/01/2018 17:00,05/01/2018 18:00,114,77.68,84.99,48,77.72,214.93
05/01/2018 18:00,05/01/2018 19:00,115,100,75.3,58.13,103.75,269.74
05/01/2018 19:00,05/01/2018 20:00,116,71.2,67.5,45.73,88,261.99
05/01/2018 20:00,05/01/2018 21:00,117,55.1,60.1,40.48,74,256.88
05/01/2018 21:00,05/01/2018 22:00,118,61.89,60.58,33.41,57,194.12
05/01/2018 22:00,05/01/2018 23:00,119,52.01,57.85,35,53.99,176.53
05/01/2018 23:00,06/01/2018 00:00,120,42.81,56,31.11,48.95,180.42
06/01/2018 00:00,06/01/2018 01:00,121,54.82,62.25,24.36,46.49,185
06/01/2018 01:00,06/01/2018 02:00,122,54.38,55.96,24.23,46.41,202
06/01/2018 02:00,06/01/2018 03:00,123,49.43,52.97,24.29,45.99,205
06/01/2018 03:00,06/01/2018 04:00,124,45.41,52.65,23.16,42.41,186.88
06/01/2018 04:00,06/01/2018 05:00,125,43.1,52.08,22.52,41.55,164.01
06/01/2018 05:00,06/01/2018 06:00,126,39.99,52.08,24.04,42.59,155.06
06/01/2018 06:00,06/01/2018 07:00,127,35,55.17,27.52,48,172.37
06/01/2018 07:00,06/01/2018 08:00,128,39.06,46.79,36.03,55.03,199.22
06/01/2018 08:00,06/01/2018 09:00,129,42.59,49.28,37.2,57.63,227.04
06/01/2018 09:00,06/01/2018 10:00,130,44.95,55.99,39.36,75,237.94
06/01/2018 10:00,06/01/2018 11:00,131,49.15,63.7,38.52,96.6,237.59
06/01/2018 11:00,06/01/2018 12:00,132,60.06,68,37.18,99.3,199.92
06/01/2018 12:00,06/01/2018 13:00,133,55.29,69.24,36.16,97.59,197.19
06/01/2018 13:00,06/01/2018 14:00,134,54.3,75.09,35.46,128.47,195.76
06/01/2018 14:00,06/01/2018 15:00,135,46.07,68.88,36.19,103.88,193.15
06/01/2018 15:00,06/01/2018 16:00,136,44.04,60.2,38,90.39,196.67
06/01/2018 16:00,06/01/2018 17:00,137,44.07,88,38.24,75,196.18
06/01/2018 17:00,06/01/2018 18:00,138,55,112,42.93,563.04,214.94
06/01/2018 18:00,06/01/2018 19:00,139,78.09,84.28,51.28,1000.04,216.66
